Position,Competition,Team,Played,Wins,Draws,Losses,GF,GA,GD,Points,GoalsPerMatch,GoalsAgainstPerMatch,AverageGD,PPG,ConcededPerMatch,GDPerMatch,AttackStrength,DefenceStrength,OverallStrength,PointsPerMatch,WinPercentage,DrawPercentage,LossPercentage
7,NLM-EZ,Mombasa Sports Club,5,1,4,0,7,6,1,7,1.4,1.2,0.2,1.4,1.2,0.2,1.05,1.13,1.09,1.4,20.0,80.0,0.0
8,NLM-EZ,TUK Men,2,1,0,1,4,4,0,3,2.0,2.0,0.0,1.5,2.0,0.0,1.5,0.68,1.09,1.5,50.0,0.0,50.0
9,NLM-EZ,Daystar University Men,6,1,0,5,6,12,-6,3,1.0,2.0,-1.0,0.5,2.0,-1.0,0.75,0.68,0.72,0.5,16.7,0.0,83.3
10,NLM-EZ,Snippers Hockey Club (Makueni),6,0,0,6,2,9,-7,0,0.33,1.5,-1.17,0.0,1.5,-1.17,0.25,0.91,0.58,0.0,0.0,0.0,100.0
1,NLM-SZ,Kisii Falcons,3,3,0,0,17,1,16,9,5.67,0.3333333333333333,5.33,3.0,0.33,5.33,2.13,8.08,5.11,3.0,100.0,0.0,0.0
2,NLM-SZ,Bay Club,3,2,0,1,11,3,8,6,3.67,1.0,2.67,2.0,1.0,2.67,1.38,2.66,2.02,2.0,66.7,0.0,33.3
3,NLM-SZ,Gorillas Hockey CLub – Migori,3,1,0,2,3,13,-10,3,1.0,4.333333333333333,-3.33,1.0,4.33,-3.33,0.37,0.62,0.5,1.0,33.3,0.0,66.7
4,NLM-SZ,Oyugis Hockey Club,3,0,0,3,1,15,-14,0,0.33,5.0,-4.67,0.0,5.0,-4.67,0.12,0.53,0.32,0.0,0.0,0.0,100.0
1,NLM-WZ,Kitale Hockey Club,5,5,0,0,15,3,12,15,3.0,0.6,2.4,3.0,0.6,2.4,2.4,2.67,2.54,3.0,100.0,0.0,0.0
2,NLM-WZ,Lakers Hockey Club Men,4,2,1,1,4,3,1,7,1.0,0.75,0.25,1.75,0.75,0.25,0.8,2.13,1.46,1.75,50.0,25.0,25.0
3,NLM-WZ,Fire Flickers,4,1,1,2,5,5,0,4,1.25,1.25,0.0,1.0,1.25,0.0,1.0,1.28,1.14,1.0,25.0,25.0,50.0
4,NLM-WZ,Nandi Hawks,4,1,1,2,4,11,-7,4,1.0,2.75,-1.75,1.0,2.75,-1.75,0.8,0.58,0.69,1.0,25.0,25.0,50.0
5,NLM-WZ,GHF Blue Pirates II,4,0,1,3,5,9,-4,1,1.25,2.25,-1.0,0.25,2.25,-1.0,1.0,0.71,0.86,0.25,0.0,25.0,75.0
6,NLM-WZ,Western Jaguars Dev,1,0,0,1,0,2,-2,0,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,0.8,0.4,0.0,0.0,0.0,100.0
1,PLM,Western Jaguars,11,7,2,2,26,13,13,23,2.36,1.181818181818182,1.18,2.09,1.18,1.18,1.46,1.37,1.42,2.09,63.6,18.2,18.2
2,PLM,Warriors,10,5,4,1,24,15,9,19,2.4,1.5,0.9,1.9,1.5,0.9,1.48,1.08,1.28,1.9,50.0,40.0,10.0
3,PLM,Sikh Union Nairobi,10,5,3,2,21,16,5,18,2.1,1.6,0.5,1.8,1.6,0.5,1.3,1.01,1.16,1.8,50.0,30.0,20.0
4,PLM,Wazalendo,11,5,2,4,19,18,1,17,1.73,1.6363636363636365,0.09,1.55,1.64,0.09,1.07,0.99,1.03,1.55,45.5,18.2,36.4
5,PLM,Parklands Sports Club,10,5,1,4,14,16,-2,16,1.4,1.6,-0.2,1.6,1.6,-0.2,0.86,1.01,0.94,1.6,50.0,10.0,40.0
6,PLM,Daikyo Heroes,11,5,1,5,18,21,-3,16,1.64,1.9090909090909087,-0.27,1.45,1.91,-0.27,1.01,0.85,0.93,1.45,45.5,9.1,45.5
7,PLM,Kisumu Youngsters,11,4,2,5,13,14,-1,14,1.18,1.2727272727272727,-0.09,1.27,1.27,-0.09,0.73,1.27,1.0,1.27,36.4,18.2,45.5
8,PLM,Kenya Police,10,2,6,2,16,17,-1,12,1.6,1.7,-0.1,1.2,1.7,-0.1,0.99,0.95,0.97,1.2,20.0,60.0,20.0
9,PLM,USIU – A,9,3,1,5,12,15,-3,10,1.33,1.6666666666666667,-0.33,1.11,1.67,-0.33,0.82,0.97,0.9,1.11,33.3,11.1,55.6
10,PLM,Greensharks,11,0,0,11,5,23,-18,0,0.45,2.090909090909091,-1.64,0.0,2.09,-1.64,0.28,0.77,0.52,0.0,0.0,0.0,100.0
1,PLW,Blazers Hockey Club,7,5,2,0,14,3,11,17,2.0,0.4285714285714285,1.57,2.43,0.43,1.57,2.34,2.42,2.38,2.43,71.4,28.6,0.0
2,PLW,USIU – A Ladies,8,3,4,1,8,4,4,13,1.0,0.5,0.5,1.62,0.5,0.5,1.17,2.08,1.62,1.62,37.5,50.0,12.5
3,PLW,Lakers Hockey Club,6,3,2,1,11,4,7,11,1.83,0.6666666666666666,1.17,1.83,0.67,1.17,2.15,1.56,1.86,1.83,50.0,33.3,16.7
4,PLW,Strathmore University Ladies,8,2,4,2,11,8,3,10,1.38,1.0,0.38,1.25,1.0,0.38,1.62,1.04,1.33,1.25,25.0,50.0,25.0
5,PLW,Amira Sailors Hockey Club,7,2,3,2,3,5,-2,9,0.43,0.7142857142857143,-0.29,1.29,0.71,-0.29,0.5,1.47,0.98,1.29,28.6,42.9,28.6
6,PLW,Kisumu Queens,6,1,4,1,3,3,0,7,0.5,0.5,0.0,1.17,0.5,0.0,0.59,2.08,1.34,1.17,16.7,66.7,16.7
7,PLW,UON Ladies,6,1,2,3,4,6,-2,5,0.67,1.0,-0.33,0.83,1.0,-0.33,0.79,1.04,0.92,0.83,16.7,33.3,50.0
8,PLW,Sliders Hockey Club,9,1,2,6,2,19,-17,5,0.22,2.111111111111111,-1.89,0.56,2.11,-1.89,0.26,0.49,0.38,0.56,11.1,22.2,66.7
9,PLW,Kenyatta University Ladies,2,0,1,1,1,3,-2,1,0.5,1.5,-1.0,0.5,1.5,-1.0,0.59,0.69,0.64,0.5,0.0,50.0,50.0
10,PLW,JKUAT Ladies,1,0,0,1,0,2,-2,0,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,0.52,0.26,0.0,0.0,0.0,100.0
1,SLM,KCA University,8,6,0,2,25,9,16,18,3.12,1.125,2.0,2.25,1.12,2.0,1.74,1.57,1.66,2.25,75.0,0.0,25.0
2,SLM,Strathmore University,6,4,2,0,16,6,10,14,2.67,1.0,1.67,2.33,1.0,1.67,1.48,1.76,1.62,2.33,66.7,33.3,0.0
3,SLM,Mvita XI,5,3,2,0,12,7,5,11,2.4,1.4,1.0,2.2,1.4,1.0,1.33,1.26,1.3,2.2,60.0,40.0,0.0
4,SLM,Impala,8,2,5,1,17,19,-2,11,2.12,2.375,-0.25,1.38,2.38,-0.25,1.18,0.74,0.96,1.38,25.0,62.5,12.5
5,SLM,Parkroad Tigers,6,3,0,3,9,17,-8,9,1.5,2.833333333333333,-1.33,1.5,2.83,-1.33,0.83,0.62,0.72,1.5,50.0,0.0,50.0
6,SLM,GHF Blue Pirates,4,2,1,1,4,3,1,7,1.0,0.75,0.25,1.75,0.75,0.25,0.56,2.34,1.45,1.75,50.0,25.0,25.0
7,SLM,UON Men,6,2,1,3,7,10,-3,7,1.17,1.6666666666666667,-0.5,1.17,1.67,-0.5,0.65,1.05,0.85,1.17,33.3,16.7,50.0
8,SLM,Parkroad Badgers,7,2,0,5,13,17,-4,6,1.86,2.4285714285714284,-0.57,0.86,2.43,-0.57,1.03,0.72,0.88,0.86,28.6,0.0,71.4
9,SLM,Wazalendo Masters,9,1,2,6,9,18,-9,5,1.0,2.0,-1.0,0.56,2.0,-1.0,0.56,0.88,0.72,0.56,11.1,22.2,66.7
10,SLM,Nakuru Hockey Club,7,0,3,4,8,14,-6,3,1.14,2.0,-0.86,0.43,2.0,-0.86,0.63,0.88,0.76,0.43,0.0,42.9,57.1
1,SLW,Twinkle Hockey Club,5,4,1,0,13,3,10,13,2.6,0.6,2.0,2.6,0.6,2.0,2.39,2.87,2.63,2.6,80.0,20.0,0.0
2,SLW,Wazalendo Pearls,6,4,1,1,10,5,5,13,1.67,0.8333333333333334,0.83,2.17,0.83,0.83,1.54,2.07,1.8,2.17,66.7,16.7,16.7
3,SLW,Lakers Hockey Club – B,6,3,2,1,7,5,2,11,1.17,0.8333333333333334,0.33,1.83,0.83,0.33,1.08,2.07,1.58,1.83,50.0,33.3,16.7
4,SLW,GHF Rift Pirates Ladies,6,3,0,3,8,7,1,9,1.33,1.1666666666666667,0.17,1.5,1.17,0.17,1.22,1.47,1.34,1.5,50.0,0.0,50.0
5,SLW,Swans Hockey Club,4,1,2,1,4,4,0,5,1.0,1.0,0.0,1.25,1.0,0.0,0.92,1.72,1.32,1.25,25.0,50.0,25.0
6,SLW,Daystar University Ladies,5,1,0,4,3,9,-6,3,0.6,1.8,-1.2,0.6,1.8,-1.2,0.55,0.96,0.76,0.6,20.0,0.0,80.0
7,SLW,Mombasa Sports Club Ladies,4,0,2,2,3,5,-2,2,0.75,1.25,-0.5,0.5,1.25,-0.5,0.69,1.38,1.03,0.5,0.0,50.0,50.0
8,SLW,Gorillas Hockey Club – Ladies,3,0,0,3,2,6,-4,0,0.67,2.0,-1.33,0.0,2.0,-1.33,0.62,0.86,0.74,0.0,0.0,0.0,100.0
9,SLW,Black Tigresses,1,0,0,1,0,6,-6,0,0.0,6.0,-6.0,0.0,6.0,-6.0,0.0,0.29,0.14,0.0,0.0,0.0,100.0
